flags,utterance,category,intent
BIP,could you help me cancel the last order I have made?,ORDER,cancel_order
BI,where do I cancel the last order?,ORDER,cancel_order
B,I try to cancel the order I made,ORDER,cancel_order
B,help me cancelling an order I made,ORDER,cancel_order
B,help me canceling the order I made,ORDER,cancel_order
BI,where can I cancel the order I have made?,ORDER,cancel_order
B,I don't know how to cancel an order I made,ORDER,cancel_order
BP,I would like to cancel an order,ORDER,cancel_order
BE,I do not know how I can cancel an order I have made,ORDER,cancel_order
B,I want assistance to cancel the last order I have made,ORDER,cancel_order
B,help with canceling an order I made,ORDER,cancel_order
B,I don't know how to cancel my last order,ORDER,cancel_order
B,I don't know how to cancel the order I made,ORDER,cancel_order
BI,can you help me to cancel the order I made?,ORDER,cancel_order
B,help to cancel my order,ORDER,cancel_order
BI,how do I cancel my order?,ORDER,cancel_order
BI,how do I cancel the last order I made?,ORDER,cancel_order
B,I can't pay for my last order,ORDER,cancel_order
B,help me cancelling the last order I have made,ORDER,cancel_order
BIM,how can I find information about cancelling orders?,ORDER,cancel_order
B,I need assistance with canceling the last order I have made,ORDER,cancel_order
B,I have to cancel my last order,ORDER,cancel_order
B,cancel an order I have made,ORDER,cancel_order
B,I have a question about cancelling my last order,ORDER,cancel_order
B,problem with canceling the last order,ORDER,cancel_order
B,I want assistance to cancel my order,ORDER,cancel_order
BI,can you help me to cancel my order?,ORDER,cancel_order
BK,cancelling order,ORDER,cancel_order
BM,I want information about canceling orders,ORDER,cancel_order
B,I need help with canceling the order I have made,ORDER,cancel_order
B,help with canceling the order I made,ORDER,cancel_order
B,I need help with cancelling my order,ORDER,cancel_order
BIP,where could I cancel the order I made?,ORDER,cancel_order
B,find information about cancelling an order,ORDER,cancel_order
B,I have got to cancel the last order I made,ORDER,cancel_order
B,I need assistance canceling the last order I have made,ORDER,cancel_order
BM,question about canceling orders,ORDER,cancel_order
BEP,I do not know how I could cancel the order I have made,ORDER,cancel_order
BM,I have problems with canceling my last order,ORDER,cancel_order
B,help with cancelling the order I have made,ORDER,cancel_order
B,I need assistance with canceling the order I have made,ORDER,cancel_order
B,problem with cancelling an order I have made,ORDER,cancel_order
B,I try to cancel the last order I have made,ORDER,cancel_order
BMP,I would like to know about order cancellations,ORDER,cancel_order
BM,question about canceling my orders,ORDER,cancel_order
BEP,I do not know how I could cancel my last order,ORDER,cancel_order
BI,how do I cancel the last order I have made?,ORDER,cancel_order
BP,I would like information about canceling an order,ORDER,cancel_order
B,assistance cancelling my order,ORDER,cancel_order
BI,how to cancel the last order I have made?,ORDER,cancel_order
BE,I am trying to find information about cancelling an order,ORDER,cancel_order
BI,can you help me to cancel the last order I have made?,ORDER,cancel_order
B,I need assistance cancelling an order,ORDER,cancel_order
BIP,how could I cancel the last order I have made?,ORDER,cancel_order
BEM,I am looking for information about order cancelations,ORDER,cancel_order
BM,I have a problem with cancelling orders,ORDER,cancel_order
BIM,can you give me information about cancelling orders?,ORDER,cancel_order
B,I need assistance canceling the order I made,ORDER,cancel_order
BI,how can I cancel the last order I have made?,ORDER,cancel_order
B,help me canceling an order I made,ORDER,cancel_order
B,I want assistance cancelling an order I have made,ORDER,cancel_order
B,I have a question about canceling the last order,ORDER,cancel_order
BE,I do not know how to cancel the last order I made,ORDER,cancel_order
BIP,would it be possible to cancel the last order I have made?,ORDER,cancel_order
B,I want help to cancel the order I have made,ORDER,cancel_order
B,help me cancel the last order I made,ORDER,cancel_order
BIP,could you help me cancelling the order I made?,ORDER,cancel_order
B,I need assistance with canceling my last order,ORDER,cancel_order
BI,can you help me cancel the last order?,ORDER,cancel_order
BE,I do not want to pay for the last order I have made,ORDER,cancel_order
BI,is it possible to cancel the last order I made?,ORDER,cancel_order
B,help with cancelling the last order I have made,ORDER,cancel_order
B,assistance cancelling the order I made,ORDER,cancel_order
B,I need help to cancel an order,ORDER,cancel_order
B,I have a problem with cancelling my last order,ORDER,cancel_order
BM,I have problems with canceling the order I have made,ORDER,cancel_order
B,I don't know how to cancel an order,ORDER,cancel_order
B,I am trying to cancel the last order,ORDER,cancel_order
B,help cancelling my order,ORDER,cancel_order
B,I don't know how I can cancel the last order I made,ORDER,cancel_order
B,I want help canceling the order I have made,ORDER,cancel_order
BP,I don't know how I could cancel an order I have made,ORDER,cancel_order
BIP,will you give me information about canceling an order?,ORDER,cancel_order
B,assistance with cancelling the last order I made,ORDER,cancel_order
B,I need to cancel my order,ORDER,cancel_order
BE,I do not want to pay for the order I made,ORDER,cancel_order
BI,how can I cancel an order?,ORDER,cancel_order
B,assistance canceling my last order,ORDER,cancel_order
BM,I have problems with cancelling the last order I made,ORDER,cancel_order
B,I can't pay for the order I have made,ORDER,cancel_order
BIMP,could you give me information about cancelling orders?,ORDER,cancel_order
BE,I do not know how to cancel an order I have made,ORDER,cancel_order
BI,where do I cancel the order I have made?,ORDER,cancel_order
B,I have a problem with canceling the last order I made,ORDER,cancel_order
B,help canceling the last order,ORDER,cancel_order
B,I need help with canceling an order I made,ORDER,cancel_order
B,help with cancelling the last order,ORDER,cancel_order
B,I want help to cancel my last order,ORDER,cancel_order
BEP,I do not know how I could cancel the last order I made,ORDER,cancel_order
B,I want assistance to cancel the last order,ORDER,cancel_order
BI,where can I cancel the last order I made?,ORDER,cancel_order
BIM,can you tell me about order cancellations?,ORDER,cancel_order
BIP,could you help me canceling an order I have made?,ORDER,cancel_order
B,assistance cancelling the last order I made,ORDER,cancel_order
BP,I would like to cancel the last order,ORDER,cancel_order
B,question about cancelling the last order,ORDER,cancel_order
B,problem with canceling my last order,ORDER,cancel_order
B,assistance cancelling an order I made,ORDER,cancel_order
BI,how can I cancel an order I have made?,ORDER,cancel_order
B,I have a problem with cancelling the order I made,ORDER,cancel_order
B,problem with canceling the last order I have made,ORDER,cancel_order
B,assistance canceling the order I made,ORDER,cancel_order
BIMP,how could I get information about cancelling orders?,ORDER,cancel_order
BM,I want information about cancelling orders,ORDER,cancel_order
B,assistance cancelling my last order,ORDER,cancel_order
BM,give me information about cancelling orders,ORDER,cancel_order
B,help to cancel an order I made,ORDER,cancel_order
BI,can you help me to cancel an order I made?,ORDER,cancel_order
B,problem with canceling the order I made,ORDER,cancel_order
BE,I do not want to pay for my last order,ORDER,cancel_order
BI,can you help me cancel my last order?,ORDER,cancel_order
B,I need assistance to cancel an order,ORDER,cancel_order
BIM,where can I get information about order cancellations?,ORDER,cancel_order
B,I want to cancel the last order I made,ORDER,cancel_order
B,I need help with cancelling an order,ORDER,cancel_order
B,I want assistance canceling an order,ORDER,cancel_order
B,I need assistance with cancelling an order,ORDER,cancel_order
BIMP,will you give me information about order cancelations?,ORDER,cancel_order
B,I have got to cancel my order,ORDER,cancel_order
BIP,could you help me cancelling the last order?,ORDER,cancel_order
B,I don't want the order I have made,ORDER,cancel_order
B,I am trying to cancel the order I have made,ORDER,cancel_order
B,question about cancelling my last order,ORDER,cancel_order
B,help me to cancel my last order,ORDER,cancel_order
B,I have a problem with canceling the last order I have made,ORDER,cancel_order
B,help with canceling the order I have made,ORDER,cancel_order
BIP,could you help me cancel an order?,ORDER,cancel_order
BIP,would it be possible to cancel my order?,ORDER,cancel_order
BI,where can I get information about canceling an order?,ORDER,cancel_order
BIP,where could I cancel the last order?,ORDER,cancel_order
B,I have a problem with cancelling an order I made,ORDER,cancel_order
BI,is it possible to cancel an order I have made?,ORDER,cancel_order
BK,canceling order,ORDER,cancel_order
BIP,where could I cancel my order?,ORDER,cancel_order
BI,can you help me cancelling the order I made?,ORDER,cancel_order
BI,can you help me cancelling my order?,ORDER,cancel_order
BE,I do not know how I can cancel the order I have made,ORDER,cancel_order
B,help to cancel an order I have made,ORDER,cancel_order
B,I want help to cancel an order I have made,ORDER,cancel_order
BI,can you help me canceling the order I made?,ORDER,cancel_order
B,I need help canceling the order I have made,ORDER,cancel_order
B,help canceling my last order,ORDER,cancel_order
BM,problems with cancelling the order I made,ORDER,cancel_order
BM,I have problems with cancelling the order I have made,ORDER,cancel_order
BM,I have problems with canceling an order I have made,ORDER,cancel_order
B,I have got to cancel an order,ORDER,cancel_order
BE,I do not want to pay for an order I made,ORDER,cancel_order
BM,I want to know about order cancellations,ORDER,cancel_order
BM,I want to know more about order cancellations,ORDER,cancel_order
BIP,how could I cancel the last order I made?,ORDER,cancel_order
B,help with cancelling my last order,ORDER,cancel_order
BIMP,could you tell me more about order cancellations?,ORDER,cancel_order
B,help me canceling my last order,ORDER,cancel_order
BIMP,how could I find information about order cancellations?,ORDER,cancel_order
BM,I have problems with canceling the last order I have made,ORDER,cancel_order
BIP,how could I cancel an order I made?,ORDER,cancel_order
BE,I cannot pay for my last order,ORDER,cancel_order
BM,tell me about order cancelations,ORDER,cancel_order
B,I need assistance with canceling an order I made,ORDER,cancel_order
B,I have a question about canceling the last order I made,ORDER,cancel_order
BIMP,where could I get information about canceling orders?,ORDER,cancel_order
B,help me canceling the last order I have made,ORDER,cancel_order
B,I can't pay for an order I have made,ORDER,cancel_order
BIMP,would you give me information about order cancelations?,ORDER,cancel_order
BI,how to cancel the last order I made?,ORDER,cancel_order
BM,I have problems with cancelling an order,ORDER,cancel_order
B,I need help canceling my order,ORDER,cancel_order
B,help to cancel the order I made,ORDER,cancel_order
BK,cancel order,ORDER,cancel_order
B,I need help with canceling the last order I made,ORDER,cancel_order
BIP,would it be possible to cancel the order I made?,ORDER,cancel_order
B,I need help to cancel my order,ORDER,cancel_order
B,help me canceling the last order I made,ORDER,cancel_order
BI,can you help me cancel the order I made?,ORDER,cancel_order
B,help to cancel the last order,ORDER,cancel_order
B,help me cancelling my last order,ORDER,cancel_order
B,I want assistance to cancel the order I have made,ORDER,cancel_order
BIP,where could I cancel an order I made?,ORDER,cancel_order
BI,how can I cancel an order I made?,ORDER,cancel_order
B,I need assistance with canceling the last order,ORDER,cancel_order
BIMP,how could I get information about order cancelations?,ORDER,cancel_order
BM,I have problems with canceling orders,ORDER,cancel_order
B,I don't want to pay for the last order I have made,ORDER,cancel_order
BIP,where could I get information about cancelling an order?,ORDER,cancel_order
B,I don't know how to cancel an order I have made,ORDER,cancel_order
B,I have a question about canceling my order,ORDER,cancel_order
BM,I have a question about canceling orders,ORDER,cancel_order
BI,can you help me canceling the last order?,ORDER,cancel_order
B,I need assistance with cancelling the last order,ORDER,cancel_order
BIP,could you help me cancelling an order?,ORDER,cancel_order
B,I have a problem with canceling an order,ORDER,cancel_order
BK,order cancellation,ORDER,cancel_order
B,help cancelling the last order I have made,ORDER,cancel_order
B,question about cancelling an order I have made,ORDER,cancel_order
B,help canceling an order,ORDER,cancel_order
BM,question about cancelling orders,ORDER,cancel_order
B,help me cancelling my order,ORDER,cancel_order
BI,how do I cancel an order I made?,ORDER,cancel_order
B,I have got to cancel the order I have made,ORDER,cancel_order
B,I don't want the last order I made,ORDER,cancel_order
BMP,I would like to know more about order cancellations,ORDER,cancel_order
BM,tell me more about order cancelations,ORDER,cancel_order
B,information about canceling an order,ORDER,cancel_order
B,I have a question about cancelling my order,ORDER,cancel_order
B,I have a problem with cancelling my order,ORDER,cancel_order
BK,order cancelation,ORDER,cancel_order
B,question about canceling my last order,ORDER,cancel_order
B,assistance with cancelling the order I have made,ORDER,cancel_order
BI,how to cancel my order?,ORDER,cancel_order
B,I am trying to cancel an order I made,ORDER,cancel_order
BEP,I do not know how I could cancel an order,ORDER,cancel_order
B,I don't know how I can cancel the last order I have made,ORDER,cancel_order
B,I don't know how I can cancel an order I have made,ORDER,cancel_order
BIP,could you help me cancel the order I have made?,ORDER,cancel_order
B,help canceling the order I have made,ORDER,cancel_order
BM,problems with canceling the order I made,ORDER,cancel_order
B,I need help canceling the last order,ORDER,cancel_order
B,I need assistance with cancelling the order I made,ORDER,cancel_order
B,I don't know how to cancel my order,ORDER,cancel_order
BE,I am trying to find information about canceling an order,ORDER,cancel_order
B,I have to cancel the order I made,ORDER,cancel_order
B,assistance cancelling an order,ORDER,cancel_order
BM,I need assistance with cancelling my orders,ORDER,cancel_order
BI,is it possible to cancel the last order?,ORDER,cancel_order
BM,find information about order cancelations,ORDER,cancel_order
B,I have a question about cancelling an order,ORDER,cancel_order
B,assistance cancelling the last order,ORDER,cancel_order
B,I don't want an order I have made,ORDER,cancel_order
B,help me cancel the order I made,ORDER,cancel_order
B,I have to cancel an order I have made,ORDER,cancel_order
B,I don't know how I can cancel the last order,ORDER,cancel_order
BIP,could you help me canceling the order I have made?,ORDER,cancel_order
BIP,could you help me to cancel my last order?,ORDER,cancel_order
BI,can you help me to add something to an order?,ORDER,change_order
BIM,can you help me removing some items?,ORDER,change_order
B,help adding an item,ORDER,change_order
B,I try to change my last order,ORDER,change_order
BIP,could I add an item to an order?,ORDER,change_order
BM,I have problems with removing an item,ORDER,change_order
BM,I have a problem with removing several items,ORDER,change_order
B,I have to change my order,ORDER,change_order
B,I have a problem with removing something,ORDER,change_order
BM,I have got to change several items of an order,ORDER,change_order
BP,I don't know how I could add something,ORDER,change_order
B,I don't know how to change an item of an order,ORDER,change_order
BM,assistance with removing several items from an order,ORDER,change_order
B,I want assistance to change an order I made,ORDER,change_order
BI,how can I change something of an order?,ORDER,change_order
B,I need help with removing something,ORDER,change_order
BM,I need help to add several items,ORDER,change_order
BMP,I would like to add several items to an order,ORDER,change_order
BM,I don't know how I can remove several items from an order,ORDER,change_order
BI,can I change the order I made?,ORDER,change_order
BIP,could you help me change my order?,ORDER,change_order
B,I need help with changing the order I made,ORDER,change_order
BI,can you help me to remove something?,ORDER,change_order
BI,how to add something?,ORDER,change_order
B,assistance changing the last order I made,ORDER,change_order
BI,can you help me to remove an item?,ORDER,change_order
BI,how to change an order?,ORDER,change_order
BM,help to add several items to an order,ORDER,change_order
B,I want to remove an item from an order,ORDER,change_order
BM,I have to remove several items,ORDER,change_order
B,I have forgotten to include an item,ORDER,change_order
BIP,could I add something to an order?,ORDER,change_order
B,I have to add something,ORDER,change_order
BM,remove some items from an order,ORDER,change_order
B,help me remove an item from an order,ORDER,change_order
BI,can you help me changing the order I made?,ORDER,change_order
BK,remove item from order,ORDER,change_order
B,question about changing an order,ORDER,change_order
BIMP,how could I remove several items from an order?,ORDER,change_order
BM,I have to add several items to an order,ORDER,change_order
B,problem with adding something,ORDER,change_order
B,change an order,ORDER,change_order
BI,can you help me to change an order I have made?,ORDER,change_order
BIP,could you help me add something to an order?,ORDER,change_order
BIP,could you help me change the order I have made?,ORDER,change_order
B,help to add an item,ORDER,change_order
BI,is it possible to change the order I have made?,ORDER,change_order
B,help to change an order I have made,ORDER,change_order
B,help me change something of an order,ORDER,change_order
B,I don't know how to remove an item from an order,ORDER,change_order
B,question about changing my order,ORDER,change_order
B,I am trying to change my last order,ORDER,change_order
B,help to change an item of an order,ORDER,change_order
B,I need help changing my order,ORDER,change_order
B,I need to change the last order I have made,ORDER,change_order
B,I need assistance to change an order,ORDER,change_order
BM,I have missed some items in the order,ORDER,change_order
BI,is it possible to change an order I have made?,ORDER,change_order
BE,I do not know how to add an item,ORDER,change_order
B,I need assistance with changing the order I have made,ORDER,change_order
BIM,can you help me removing several items from an order?,ORDER,change_order
BIM,can you help me removing several items?,ORDER,change_order
B,I want assistance to change the last order,ORDER,change_order
BM,I don't know how to remove some items,ORDER,change_order
BM,I need help to change several items of an order,ORDER,change_order
BM,help me remove several items,ORDER,change_order
BM,I have problems with adding something,ORDER,change_order
B,I try to add something,ORDER,change_order
BM,problems with changing my last order,ORDER,change_order
B,I have a question about changing the last order I have made,ORDER,change_order
BM,help with adding some items,ORDER,change_order
BIM,is it possible to add some items to an order?,ORDER,change_order
BIM,can you help me to remove several items?,ORDER,change_order
BM,I can't remove some items,ORDER,change_order
BIM,how do I add several items to an order?,ORDER,change_order
BM,I want to remove some items from an order,ORDER,change_order
BM,I need assistance with adding some items,ORDER,change_order
BP,I would like to remove something,ORDER,change_order
B,I need help with removing an item,ORDER,change_order
BIP,could you help me to remove an item?,ORDER,change_order
BM,I have to remove several items from an order,ORDER,change_order
B,I try to remove something from an order,ORDER,change_order
BM,I have problems with adding some items to an order,ORDER,change_order
B,assistance to add something,ORDER,change_order
BI,how can I add an item to an order?,ORDER,change_order
BIM,how can I remove several items from an order?,ORDER,change_order
BM,I want help adding several items to an order,ORDER,change_order
BEP,I do not know how I could add something,ORDER,change_order
B,problem with changing an order,ORDER,change_order
BI,is it possible to change an order I made?,ORDER,change_order
B,I need help to change something of an order,ORDER,change_order
BIM,how can I remove some items from an order?,ORDER,change_order
B,I don't know how I can add an item,ORDER,change_order
B,I am trying to change the last order I made,ORDER,change_order
BEM,I cannot remove some items from an order,ORDER,change_order
B,I want assistance to change an order I have made,ORDER,change_order
B,assistance to remove an item,ORDER,change_order
BM,I have problems with removing something,ORDER,change_order
B,assistance to change an order,ORDER,change_order
B,help me change an item of an order,ORDER,change_order
BIM,how can I get information about changing orders?,ORDER,change_order
B,I want assistance to change an item of an order,ORDER,change_order
B,I need help to change an order I made,ORDER,change_order
BIM,can you help me add several items to an order?,ORDER,change_order
B,help me changing something of an order,ORDER,change_order
BIM,how do I change several items of an order?,ORDER,change_order
BIMP,how could I get information about order changes?,ORDER,change_order
BIM,can you help me to add some items?,ORDER,change_order
B,I have got to remove something,ORDER,change_order
B,I need help with adding an item to an order,ORDER,change_order
B,I have a problem with changing the order I have made,ORDER,change_order
BM,problems with adding an item to an order,ORDER,change_order
BM,information about changing orders,ORDER,change_order
BI,how to change the last order I have made?,ORDER,change_order
B,I want assistance to remove something from an order,ORDER,change_order
B,I need assistance to change the last order,ORDER,change_order
BE,I do not know how I can add an item,ORDER,change_order
BM,I have a problem with changing some items of an order,ORDER,change_order
B,assistance changing my last order,ORDER,change_order
BM,I have problems with changing something of an order,ORDER,change_order
BM,I have problems with removing something from an order,ORDER,change_order
B,I have to change my last order,ORDER,change_order
BIMP,could you help me remove some items from an order?,ORDER,change_order
B,help to change the order I made,ORDER,change_order
BM,I want to add some items to an order,ORDER,change_order
BEM,I do not know how I can add several items,ORDER,change_order
BIP,could I add something?,ORDER,change_order
BM,help me removing several items,ORDER,change_order
BMP,I don't know how I could change some items of an order,ORDER,change_order
B,I don't know how I can add an item to an order,ORDER,change_order
B,help changing an order I made,ORDER,change_order
BI,how can I add something?,ORDER,change_order
BK,order change,ORDER,change_order
BM,I can't add some items to an order,ORDER,change_order
B,help to change the last order I made,ORDER,change_order
B,I need assistance to add an item,ORDER,change_order
BEM,I cannot change several items of an order,ORDER,change_order
BIP,could you help me removing something?,ORDER,change_order
BIP,could I change the order I made?,ORDER,change_order
BP,I would like to change the last order I have made,ORDER,change_order
BE,I do not know how I can change an item of an order,ORDER,change_order
BM,add some items to an order,ORDER,change_order
BM,I want help adding some items to an order,ORDER,change_order
BM,assistance with adding several items,ORDER,change_order
BIMP,will you give me information about order changes?,ORDER,change_order
B,help me to remove something,ORDER,change_order
BM,I don't know how to remove some items from an order,ORDER,change_order
BM,I want to remove several items,ORDER,change_order
BM,I want assistance to add several items,ORDER,change_order
BI,is it possible to change an order?,ORDER,change_order
B,I need assistance with removing something from an order,ORDER,change_order
B,I have a question about changing an order I made,ORDER,change_order
B,I want to change something of an order,ORDER,change_order
B,I want assistance to change the last order I made,ORDER,change_order
BM,problem with adding some items to an order,ORDER,change_order
BIP,could you help me change the order I made?,ORDER,change_order
B,I don't know how to add something,ORDER,change_order
B,I have a problem with removing something from an order,ORDER,change_order
BM,the items I have purchased aren't the ones I wanted,ORDER,change_order
BM,help me change several items of an order,ORDER,change_order
B,help with adding an item to an order,ORDER,change_order
B,I have a problem with changing my order,ORDER,change_order
BI,can you help me removing something?,ORDER,change_order
BM,I need to add some items to an order,ORDER,change_order
B,help changing an item of an order,ORDER,change_order
B,I am trying to change the last order I have made,ORDER,change_order
BEM,I do not know how to add some items to an order,ORDER,change_order
BIP,how could I add an item?,ORDER,change_order
B,I need to change the last order,ORDER,change_order
BE,I cannot change an item of an order,ORDER,change_order
BEP,I do not know how I could add an item to an order,ORDER,change_order
BM,I missed some items,ORDER,change_order
BIP,would it be possible to change something of an order?,ORDER,change_order
B,I don't know how to remove an item,ORDER,change_order
B,assistance with changing an order,ORDER,change_order
BM,I need assistance to change several items of an order,ORDER,change_order
BI,can you help me to change my last order?,ORDER,change_order
BI,can you help me remove something from an order?,ORDER,change_order
BM,I want help changing some items of an order,ORDER,change_order
BIMP,could you help me add some items?,ORDER,change_order
B,I am trying to change an order I made,ORDER,change_order
B,I want help to remove an item from an order,ORDER,change_order
BM,change some items of an order,ORDER,change_order
B,I need help to add an item,ORDER,change_order
BIM,can I remove several items?,ORDER,change_order
BM,help me to remove some items from an order,ORDER,change_order
B,question about changing the order I made,ORDER,change_order
BM,I need help removing some items,ORDER,change_order
BIP,could you help me adding an item to an order?,ORDER,change_order
BI,how to add something to an order?,ORDER,change_order
B,I can't change my last order,ORDER,change_order
BM,I forgot to include some items in my order,ORDER,change_order
BM,I have got to remove several items from an order,ORDER,change_order
BI,can you help me change my order?,ORDER,change_order
B,I want help changing the order I made,ORDER,change_order
BK,adding product to last order,ORDER,change_order
B,help with changing something of an order,ORDER,change_order
BIP,how could I change my order?,ORDER,change_order
BM,I forgot to include some items in the order,ORDER,change_order
BM,problem with removing some items from an order,ORDER,change_order
B,help me to remove something from an order,ORDER,change_order
B,I want help changing an order I made,ORDER,change_order
BIM,how do I remove several items?,ORDER,change_order
BM,I try to add several items,ORDER,change_order
B,I want assistance to remove something,ORDER,change_order
B,I can't change an order,ORDER,change_order
B,I have got to add an item,ORDER,change_order
BM,help to remove some items from an order,ORDER,change_order
BEM,I do not know how I can remove several items from an order,ORDER,change_order
B,help to change the last order I have made,ORDER,change_order
B,I have a question about changing the order I have made,ORDER,change_order
BIP,could you help me to add an item to an order?,ORDER,change_order
B,I purchased the wrong item,ORDER,change_order
B,problem with adding an item,ORDER,change_order
B,I need assistance removing something,ORDER,change_order
B,assistance adding an item,ORDER,change_order
B,I have got to change an order I made,ORDER,change_order
BM,I want assistance to change several items of an order,ORDER,change_order
BM,information about order changes,ORDER,change_order
BM,I need information about orders,ORDER,change_order
B,I have got to change an item of an order,ORDER,change_order
BM,I need assistance removing several items from an order,ORDER,change_order
B,I need assistance with adding an item,ORDER,change_order
BEM,I cannot remove several items,ORDER,change_order
BIM,can you help me adding several items?,ORDER,change_order
BM,assistance with changing several items of an order,ORDER,change_order
BIP,could you help me to change the order I have made?,ORDER,change_order
B,help with changing the order I made,ORDER,change_order
B,I need assistance to remove an item from an order,ORDER,change_order
BEP,I do not know how I could remove an item from an order,ORDER,change_order
BM,I need assistance with removing several items from an order,ORDER,change_order
BIP,where could I find information about changing an order?,ORDER,change_order
B,I want assistance to change an order,ORDER,change_order
BK,change order,ORDER,change_order
BMP,I don't know how I could remove several items from an order,ORDER,change_order
BI,how can I change the last order I have made?,ORDER,change_order
BI,can you help me to change the last order I made?,ORDER,change_order
BM,I have forgotten to include several items in my order,ORDER,change_order
BIP,could you help me change an order I have made?,ORDER,change_order
B,remove something,ORDER,change_order
BIP,would it be possible to change an order?,ORDER,change_order
BMP,I would like to add some items to an order,ORDER,change_order
BM,I want assistance to remove several items from an order,ORDER,change_order
BM,I have a question about changing my orders,ORDER,change_order
BEM,I cannot add some items,ORDER,change_order
BM,I need help to add some items,ORDER,change_order
BM,I need help adding several items,ORDER,change_order
BE,I cannot change my last order,ORDER,change_order
BM,I have to add some items to an order,ORDER,change_order
B,help me changing an order I have made,ORDER,change_order
BIP,how could I change an item of an order?,ORDER,change_order
B,assistance adding something,ORDER,change_order
B,I want information about changing an order,ORDER,change_order
BIP,could you help me changing my order?,ORDER,change_order
BM,I have a problem with adding several items to an order,ORDER,change_order
B,help to change an order,ORDER,change_order
BM,I have got to add several items,ORDER,change_order
BIP,would it be possible to remove an item?,ORDER,change_order
BI,can you help me remove something?,ORDER,change_order
BM,I want help to add some items,ORDER,change_order
BIMP,could you help me remove several items?,ORDER,change_order
BIM,can you help me remove some items from an order?,ORDER,change_order
BM,help me adding several items,ORDER,change_order
B,problem with removing something from an order,ORDER,change_order
B,I am trying to add something to an order,ORDER,change_order
BIP,would it be possible to change an order I have made?,ORDER,change_order
BM,help me add several items to an order,ORDER,change_order
B,I want help removing an item,ORDER,change_order
BIMP,could you help me add several items?,ORDER,change_order
BM,I have problems with removing some items,ORDER,change_order
B,assistance to change my order,ORDER,change_order
BIM,how to remove some items from an order?,ORDER,change_order
B,I need help to add an item to an order,ORDER,change_order
B,help with changing my order,ORDER,change_order
BM,problem with changing several items of an order,ORDER,change_order
BM,I have problems with changing an order I have made,ORDER,change_order
